PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE
78,74,113,1893,Dawa Khan Sabir (PTI),61,355,737,38.93291072,737,38.93291072,0
80,76,113,1554,Dawa Khan Sabir (PTI),20,179,359,23.1016731,571,36.74388674,212
81,77,113,1285,Dawa Khan Sabir (PTI),73,230,485,37.74319066,485,37.74319066,0
82,78,113,1010,Dawa Khan Sabir (PTI),19,83,193,19.10891089,193,19.10891089,0
83,79,113,1999,Dawa Khan Sabir (PTI),69,262,624,31.2156078,626,31.31565783,2
86,82,113,1586,Dawa Khan Sabir (PTI),119,154,570,35.93947037,569,35.87641866,1
88,84,113,1560,Dawa Khan Sabir (PTI),82,190,585,37.5,585,37.5,0
89,85,113,1221,Dawa Khan Sabir (PTI),16,98,256,20.96642097,256,20.96642097,0
90,86,113,1023,Dawa Khan Sabir (PTI),74,99,402,39.29618768,402,39.29618768,0
93,89,113,2244,Dawa Khan Sabir (PTI),23,445,644,28.69875223,641,28.56506239,3
94,5,112,1894,Dawa Khan Sabir (PTI),46,293,607,32.04857445,608,32.10137276,1
95,6,112,1402,Dawa Khan Sabir (PTI),12,149,294,20.9700428,289,20.61340942,5
96,7,112,1796,Dawa Khan Sabir (PTI),26,542,808,44.98886414,786,43.76391982,22
97,8,112,1001,Dawa Khan Sabir (PTI),12,156,297,29.67032967,297,29.67032967,0
98,9,112,1245,Dawa Khan Sabir (PTI),52,276,580,46.58634538,567,45.54216867,13
99,10,112,2041,Dawa Khan Sabir (PTI),55,377,783,38.36354728,775,37.97158256,8
100,11,112,1490,Dawa Khan Sabir (PTI),17,201,354,23.75838926,354,23.75838926,0
101,12,112,1862,Dawa Khan Sabir (PTI),71,342,715,38.39957035,711,38.18474758,4
102,13,112,1676,Dawa Khan Sabir (PTI),29,224,500,29.83293556,499,29.77326969,1
103,14,112,1609,Dawa Khan Sabir (PTI),53,332,706,43.87818521,706,43.87818521,0
104,15,112,1246,Dawa Khan Sabir (PTI),8,174,366,29.37399679,356,28.57142857,10
105,16,112,1711,Dawa Khan Sabir (PTI),38,183,573,33.48918761,573,33.48918761,0
107,18,112,2557,Dawa Khan Sabir (PTI),46,388,817,31.95150567,817,31.95150567,0
108,19,112,2031,Dawa Khan Sabir (PTI),116,356,852,41.94977843,851,41.90054161,1
109,20,112,1614,Dawa Khan Sabir (PTI),23,153,338,20.9417596,331,20.50805452,7
110,90,113,1645,Dawa Khan Sabir (PTI),58,86,284,17.26443769,454,27.59878419,170
112,92,113,1216,Dawa Khan Sabir (PTI),41,68,212,17.43421053,212,17.43421053,0
113,93,113,2200,Dawa Khan Sabir (PTI),92,181,508,23.09090909,508,23.09090909,0
114,94,113,1597,Dawa Khan Sabir (PTI),99,171,477,29.86850344,477,29.86850344,0
119,99,113,1309,Dawa Khan Sabir (PTI),0,135,280,21.39037433,280,21.39037433,0
131,111,113,1279,Dawa Khan Sabir (PTI),48,76,232,18.13917123,232,18.13917123,0
132,112,113,2102,Dawa Khan Sabir (PTI),146,273,710,33.7773549,708,33.68220742,2
133,113,113,1601,Dawa Khan Sabir (PTI),49,177,359,22.42348532,349,21.7988757,10
134,21,112,2142,Dawa Khan Sabir (PTI),213,363,842,39.30905696,842,39.30905696,0
141,28,112,1193,Dawa Khan Sabir (PTI),60,175,443,37.13327745,443,37.13327745,0
142,29,112,1357,Dawa Khan Sabir (PTI),144,259,693,51.06853353,694,51.1422255,1
143,30,112,1044,Dawa Khan Sabir (PTI),43,131,329,31.51340996,339,32.47126437,10
144,31,112,1951,Dawa Khan Sabir (PTI),119,304,763,39.10814967,763,39.10814967,0
149,36,112,1061,Dawa Khan Sabir (PTI),55,58,309,29.12346843,309,29.12346843,0
152,39,112,2133,Dawa Khan Sabir (PTI),108,229,935,43.83497421,935,43.83497421,0
153,40,112,1371,Dawa Khan Sabir (PTI),43,89,374,27.27935813,378,27.57111597,4
155,42,112,1437,Dawa Khan Sabir (PTI),66,116,435,30.27139875,435,30.27139875,0
159,46,112,1028,Dawa Khan Sabir (PTI),40,73,211,20.52529183,211,20.52529183,0
161,48,112,1488,Dawa Khan Sabir (PTI),96,194,596,40.05376344,596,40.05376344,0
162,49,112,1045,Dawa Khan Sabir (PTI),42,76,276,26.41148325,275,26.31578947,1
163,50,112,1183,Dawa Khan Sabir (PTI),99,130,451,38.12341505,449,37.95435334,2
164,51,112,1408,Dawa Khan Sabir (PTI),101,125,463,32.88352273,463,32.88352273,0
168,55,112,1770,Dawa Khan Sabir (PTI),142,180,647,36.55367232,647,36.55367232,0
169,56,112,1305,Dawa Khan Sabir (PTI),57,94,282,21.6091954,282,21.6091954,0
170,57,112,1430,Dawa Khan Sabir (PTI),64,143,411,28.74125874,411,28.74125874,0
171,58,112,1475,Dawa Khan Sabir (PTI),95,189,527,35.72881356,502,34.03389831,25
172,58,111,1155,Dawa Khan Sabir (PTI),14,28,354,30.64935065,354,30.64935065,0
174,60,111,1057,Dawa Khan Sabir (PTI),10,23,426,40.30274361,436,41.24881741,10
176,62,111,1042,Dawa Khan Sabir (PTI),55,777,839,80.51823417,399,38.29174664,440
177,63,111,765,Dawa Khan Sabir (PTI),6,54,274,35.81699346,275,35.94771242,1
178,64,111,1924,Dawa Khan Sabir (PTI),149,195,691,35.91476091,714,37.11018711,23
179,65,111,1335,Dawa Khan Sabir (PTI),52,112,342,25.61797753,320,23.97003745,22
180,66,111,1555,Dawa Khan Sabir (PTI),64,120,536,34.46945338,537,34.53376206,1
181,59,112,1286,Dawa Khan Sabir (PTI),39,122,429,33.3592535,430,33.437014,1
182,60,112,1995,Dawa Khan Sabir (PTI),97,207,771,38.64661654,773,38.74686717,2
183,61,112,1419,Dawa Khan Sabir (PTI),35,104,391,27.55461593,392,27.62508809,1
184,62,112,1772,Dawa Khan Sabir (PTI),108,148,482,27.20090293,482,27.20090293,0
185,63,112,1525,Dawa Khan Sabir (PTI),133,173,512,33.57377049,514,33.70491803,2
186,67,111,1126,Dawa Khan Sabir (PTI),47,82,274,24.3339254,274,24.3339254,0
187,68,111,2132,Dawa Khan Sabir (PTI),72,226,745,34.94371482,745,34.94371482,0
188,69,111,1322,Dawa Khan Sabir (PTI),25,100,286,21.63388805,286,21.63388805,0
191,72,111,1242,Dawa Khan Sabir (PTI),21,129,440,35.42673108,466,37.52012882,26
192,73,111,1458,Dawa Khan Sabir (PTI),26,72,310,21.26200274,291,19.95884774,19
193,64,112,2351,Dawa Khan Sabir (PTI),217,250,793,33.73032752,793,33.73032752,0
194,65,112,1412,Dawa Khan Sabir (PTI),82,90,350,24.78753541,349,24.71671388,1
195,66,112,1537,Dawa Khan Sabir (PTI),20,266,485,31.55497723,485,31.55497723,0
196,67,112,1361,Dawa Khan Sabir (PTI),21,237,564,41.44011756,564,41.44011756,0
197,68,112,2146,Dawa Khan Sabir (PTI),132,314,853,39.74836906,815,37.97763281,38
199,70,112,1443,Dawa Khan Sabir (PTI),12,183,417,28.8981289,417,28.8981289,0
